window,tf,bar_seconds,N,M,atr_mult,return,max_dd,n_trades,net_wr,sum_r,pf,fees,calmar,final_balance
2021-2023,4h,14400,30,20,2.0,0.413376,-0.146962,122,0.239669,47.8957,1.486216,439.96,2.812815,14133.76
2021-2023,4h,14400,30,20,2.5,0.365432,-0.115570,112,0.279279,39.9712,1.537420,314.93,3.161986,13654.32
2021-2023,4h,14400,30,20,3.0,0.247211,-0.117615,108,0.287037,28.7768,1.402649,251.03,2.101857,12472.11
2021-2023,4h,14400,55,5,1.5,0.557628,-0.121699,122,0.305085,56.0035,1.668434,616.33,4.582017,15576.28
2021-2023,4h,14400,55,5,2.0,0.294612,-0.090779,120,0.319328,33.6152,1.425698,434.53,3.245354,12946.12
2021-2023,4h,14400,55,5,2.5,0.231933,-0.073044,117,0.327586,26.4998,1.416185,339.02,3.175246,12319.33
2021-2023,4h,14400,55,5,3.0,0.157720,-0.077255,117,0.324786,19.0685,1.324296,278.55,2.041561,11577.20
2021-2023,4h,14400,55,10,1.5,0.638196,-0.130946,109,0.301887,64.7767,1.783341,578.28,4.873730,16381.96
2021-2023,4h,14400,55,10,2.0,0.364506,-0.091339,106,0.339623,41.0517,1.536809,407.71,3.990697,13645.06
2021-2023,4h,14400,55,10,2.5,0.419440,-0.087109,98,0.377551,42.1470,1.733472,330.46,4.815142,14194.40
2021-2023,4h,14400,55,10,3.0,0.311341,-0.083926,98,0.377551,32.5189,1.638476,263.35,3.709704,13113.41
2021-2023,4h,14400,55,15,1.5,0.666362,-0.133953,104,0.297030,66.3923,1.852889,531.40,4.974583,16663.62
2021-2023,4h,14400,55,15,2.0,0.356250,-0.099423,100,0.330000,40.3237,1.528566,371.44,3.583173,13562.50
2021-2023,4h,14400,55,15,2.5,0.429156,-0.093023,91,0.373626,42.6883,1.777612,298.11,4.613441,14291.56
2021-2023,4h,14400,55,15,3.0,0.319685,-0.090385,90,0.388889,33.0127,1.668158,237.51,3.536915,13196.85
2021-2023,4h,14400,55,20,1.5,0.661671,-0.161664,96,0.265957,65.6818,1.886012,485.79,4.092887,16616.71
2021-2023,4h,14400,55,20,2.0,0.346850,-0.159334,92,0.282609,39.2761,1.551784,329.37,2.176876,13468.50
2021-2023,4h,14400,55,20,2.5,0.385633,-0.079715,82,0.353659,39.0957,1.798108,246.10,4.837627,13856.33
2021-2023,4h,14400,55,20,3.0,0.277930,-0.072655,81,0.358025,29.4055,1.652222,196.12,3.825316,12779.30
2021-2023,1h,3600,10,5,1.5,0.168021,-0.371299,1226,0.300608,165.2835,1.031603,11815.02,0.452522,11680.21
2021-2023,1h,3600,10,5,2.0,-0.220373,-0.413087,1165,0.307829,79.6628,0.959537,6916.67,-0.533479,7796.27
2021-2023,1h,3600,10,5,2.5,-0.238810,-0.399234,1131,0.315032,53.2477,0.944684,5697.85,-0.598171,7611.90
2021-2023,1h,3600,10,5,3.0,-0.245889,-0.369818,1119,0.316456,37.1098,0.931433,4721.76,-0.664890,7541.11
2021-2023,1h,3600,15,5,1.5,0.557868,-0.270806,1051,0.306352,172.4907,1.103996,9831.70,2.060030,15578.68
2021-2023,1h,3600,15,5,2.0,0.073783,-0.345581,1006,0.320872,97.2786,1.022045,6216.87,0.213505,10737.83
2021-2023,1h,3600,15,5,2.5,-0.088702,-0.358325,979,0.327784,60.3787,0.976923,4809.61,-0.247546,9112.98
